施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無,エラー
医療法人福住産科婦人科クリニック,011053,北海道,札幌市豊平区,40.695896,140.457413,011-836-1188,http://www.fukuzumi-c.com,062-0043,青森県北海道札幌市豊平区福住3条1丁目2番24号,有,有,緯度経度(不一致)
医療法人社団いちご会美加レディ-スクリニック,011053,北海道,札幌市豊平区,40.822357,140.747314,011-833-7773,https://www.mikalady.jp,062-0933,青森県札幌市豊平区平岸3条13丁目5番21号,有,有,緯度経度(不一致)
医療法人社団新芽会美園産婦人科小児科,011053,北海道,札幌市豊平区,40.822357,140.747314,011-824-0303,http://misono-hp.com/,062-0004,青森県札幌市豊平区美園4条3丁目2番19号,有,有,緯度経度(不一致)
神田産科婦人科クリニック,011053,北海道,札幌市豊平区,40.822357,140.747314,011-841-1103,kanda-sanfujinka-clinic.com,062-0903,青森県札幌市豊平区豊平3条1丁目1-33,有,有,緯度経度(不一致)
産科・婦人科札幌みらいクリニック,011100,北海道,札幌市清田区,40.822357,140.747314,011-885-1100,https://sapporo-mirai.jp/,004-0871,青森県札幌市清田区平岡1条5丁目3番8号,有,有,緯度経度(不一致)
医療法人礼風会五輪橋マタニティクリニック,011061,北海道,札幌市南区,40.695896,140.457413,011-585-3110,https://gorin.or.jp/,005-0039,青森県北海道札幌市南区南39条西11丁目1番30号,有,有,緯度経度(不一致)
ペルル女性クリニック,011070,北海道,札幌市西区,40.695896,140.457413,011-624-7031,https://perle-ladies.com,063-0803,青森県北海道札幌市西区二十四軒3条1丁目1-18,有,有,緯度経度(不一致)
医療法人社団カワカミウィメンズクリニック,011070,北海道,札幌市西区,40.822357,140.747314,011-641-6507,,063-0865,青森県札幌市西区八軒5条東1丁目6番19号,有,有,緯度経度(不一致)
医療法人社団ともこレディ-スクリニック,011070,北海道,札幌市西区,40.695896,140.457413,011-641-8181,http://www.tomoko-ladies.dr-clinic.jp,063-0812,"青森県北海道札幌市西区琴似2条1丁目1-20
琴似タワ-プラザ2F",有,有,緯度経度(不一致)
医療法人社団札幌西レディ-スクリニック,011070,北海道,札幌市西区,40.822357,140.747314,011-661-3535,www.nishiladies.com,063-0061,青森県札幌市西区西町北11丁目1番5号,有,有,緯度経度(不一致)
さくらレディ-スクリニック,011096,北海道,札幌市手稲区,40.822357,140.747314,011-695-8118,,006-0012,青森県札幌市手稲区富丘2条7丁目6-15,有,有,緯度経度(不一致)
医療法人はだ産婦人科クリニック,011096,北海道,札幌市手稲区,40.822357,140.747314,011-685-1103,hadasan.com,006-0022,青森県札幌市手稲区手稲本町2条5丁目3-12,有,有,緯度経度(不一致)
医療法人育愛会愛産婦人科,011096,北海道,札幌市手稲区,40.822357,140.747314,011-676-1166,www.ai-maternity.com,006-0004,青森県札幌市手稲区西宮の沢4条2丁目1番1号,有,有,"URL(リンク切れ), 緯度経度(不一致)"
医療法人社団手稲あけぼのレディ-スクリニック,011096,北海道,札幌市手稲区,40.695896,140.457413,011-695-4103,http://www.teine-alc.jp,006-0836,青森県北海道札幌市手稲区曙6条2丁目2番10号,有,有,"URL(リンク切れ), 緯度経度(不一致)"
医療法人社団真愛会札幌ファミリ-クリニック,011096,北海道,札幌市手稲区,40.822357,140.747314,011-695-5211,http://www.family-clinic.net/,006-0852,青森県札幌市手稲区星置2条4丁目2番22号,有,無,緯度経度(不一致)
医療法人社団弘和会森産科婦人科病院,012041,北海道,旭川市,40.695896,140.457413,0166-22-6125,http://www.mori-hosp.jp,070-0037,青森県北海道旭川市7条通7丁目左2号,有,有,緯度経度(不一致)
医療法人社団利信会上村産科婦人科医院,012041,北海道,旭川市,40.695896,140.457413,0166-53-1551,http://www.kamimura-clinic.com,071-8121,青森県北海道旭川市末広東1条3丁目1番5号,有,有,緯度経度(不一致)
医療法人社団せせらぎ通りクリニック,012041,北海道,旭川市,40.695896,140.457413,0166-47-7321,http://www.seseragidoriclinic/com,079-8416,青森県北海道旭川市永山6条11丁目78番地,有,有,"URL(リンク切れ), 緯度経度(不一致)"
医療法人社団豊和会豊岡産科婦人科医院,012041,北海道,旭川市,40.695896,140.457413,0166-31-6801,,078-8234,青森県北海道旭川市豊岡4条1丁目1番10号,有,有,緯度経度(不一致)
医療法人社団並木通りクリニック,012041,北海道,旭川市,40.695896,140.457413,0166-59-7390,,070-0873,青森県北海道旭川市春光3条7丁目7番1号,有,有,緯度経度(不一致)
医療法人社団みずうち産科婦人科,012041,北海道,旭川市,40.695896,140.457413,0166-31-6713,https://mizuuchi.or.jp,078-8234,青森県北海道旭川市豊岡4条3丁目2番地3,有,有,緯度経度(不一致)
旭川レディ-スクリニック,012041,北海道,旭川市,40.695896,140.457413,0166-25-3110,,070-0033,"青森県北海道旭川市3条通2丁目429-683
十字屋ビル2F",有,有,緯度経度(不一致)
医療法人社団健和会和田産婦人科医院,012041,北海道,旭川市,40.695896,140.457413,0166-23-3521,http://potato.hokkai.net/-wada/,070-0034,青森県北海道旭川市4条通15丁目右8号,有,有,"URL(リンク切れ), 緯度経度(不一致)"
小樽市立病院,012033,北海道,小樽市,40.695896,140.457413,0134-25-1211,https://www.otaru-general-hospital.jp,047-8550,青森県北海道小樽市若松1丁目1番1号,有,無,緯度経度(不一致)
医療法人社団 新開レディ-スクリニック,012033,北海道,小樽市,40.695896,140.457413,0134-24-6800,http:www/shinkai-lc.com/,047-0032,"青森県北海道小樽市稲穂2丁目9番11号
ツルハビル3F",有,有,"URL(無効なURL), URL(リンク切れ), 緯度経度(不一致)"
おたるレディ-スクリニック,012033,北海道,小樽市,40.695896,140.457413,0134-25-0303,www.otaru-ladies.com,047-0032,青森県北海道小樽市稲穂4丁目1番7号,有,有,緯度経度(不一致)
函館中央病院,012025,北海道,函館市,40.695896,140.457413,0138-52-1231,http://www.chubyou.com/,040-8585,青森県北海道函館市本町33番2号,有,有,緯度経度(不一致)
秋山記念病院,012025,北海道,函館市,40.695896,140.457413,0138-46-6660,http://akiyama.hakodate.jp/,041-0802,青森県北海道函館市石川町41番地9,有,有,"URL(リンク切れ), 緯度経度(不一致)"
市立函館病院,012025,北海道,函館市,40.695896,140.457413,0138-43-2000,http://www.hospital.hakodate.hokkaido.jp,041-8680,青森県北海道函館市港町1丁目10番1号,有,有,緯度経度(不一致)
共愛会病院,012025,北海道,函館市,40.695896,140.457413,0138-51-2111,http://www.kyoaikai-hosp.com/,040-8577,青森県北海道函館市中島町7番21号,有,有,"URL(リンク切れ), 緯度経度(不一致)"
岡和田産婦人科医院,012025,北海道,函館市,40.695896,140.457413,0138-42-5588,,040-0072,青森県北海道函館市亀田町20番14号,有,有,緯度経度(不一致)
三浦レディ-スクリニック,012025,北海道,函館市,40.695896,140.457413,0138-51-2357,,040-0011,青森県北海道函館市本町20番1号,有,有,緯度経度(不一致)
医療法人社団藤松産婦人科医院,012025,北海道,函館市,40.695896,140.457413,0138-55-2280,,041-0852,青森県北海道函館市鍛治2丁目24番5号,有,有,緯度経度(不一致)
"医療法人社団陵仁会
えんどう桔梗マタニティ-クリニック",012025,北海道,函館市,40.695896,140.457413,0138-47-3001,http://www.endo-kikyo.or.jp,041-0808,青森県北海道函館市桔梗5丁目7番15号,有,有,緯度経度(不一致)
医療法人社団産科婦人科白鳥クリニック,012025,北海道,函館市,40.695896,140.457413,0138-44-5588,http://www1.ncv.ne.jp/-swan5588/,040-0082,青森県北海道函館市白鳥町13番18号,有,有,"URL(リンク切れ), 緯度経度(不一致)"
"医療法人社団明誠会
こじま産婦人科",012025,北海道,函館市,40.695896,140.457413,0138-55-5252,http://kojima-ml.com,041-0832,青森県北海道函館市神山1丁目12番9号,有,有,緯度経度(不一致)
湯の川女性クリニック,012025,北海道,函館市,40.695896,140.457413,0138-59-0006,http://www.yunokawa-jc.com,042-0932,青森県北海道函館市湯川町2丁目17番18号,有,有,緯度経度(不一致)
