施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無
"医療法人社団岩見沢レ
ディースクリニック",012106,北海道,岩見沢市,43.191231,141.752884,0126-23-2222,,068-0028,北海道岩見沢市８条西１９丁目３－１,有,"平日９：００～１９：００土曜９：００～１
３：００日曜９：００～１３：００（日曜、
祝日）",有
砂川市立病院,012262,北海道,砂川市,43.494007,141.905243,0125-54-2131,"http://www.med.sunagawa.hokkaido.
jp/",073-0196,北海道砂川市西4条北3丁目1-1,有,平日8：30～12：30,有
"医療法人社団たきかわ産
科婦人科クリニック",012254,北海道,滝川市,43.560764,141.906052,0125-23-3039,,073-0021,北海道滝川市本町２丁目５番１８号,有,"月・火・水・金8：30-12：0013：00-
17：00
木・土8：30-12：00",有
名寄市立総合病院,012211,北海道,名寄市,44.348461,142.451279,01654-3-3101,http://www.nayoroch.jp/,096-8511,北海道名寄市西７条南８丁目１番地,有,平日8:30-17:00,有
"社会福祉法人北海道社会
事業協会富良野病院",012297,北海道,富良野市,43.346085,142.392426,0167-23-2181,"http://www.msknet.ne.jp/-furano-
hospital/",076-8765,北海道富良野市住吉町１－３０,有,"平日8:30～16:50
土曜8:30～12:00（第２、４土曜休診）",有
留萌市立病院,012122,北海道,留萌市,43.931763,141.677505,0164-49-1011,http://www.rumoi-hp.jp,077-8511,北海道留萌市東雲町２丁目１６番地,有,"平日８：４５～１７：００
土日祝日８：４５～１７：００",有
市立稚内病院,012149,北海道,稚内市,45.413475,141.673996,0162-23-2771,"http://www.city.wakkanai.hokkaido.j
p/hospital/",097-8555,北海道稚内市中央４丁目１１番６号,有,24時間対応可能,有
利尻島国保中央病院,015180,北海道,利尻郡利尻町,45.187523,141.148819,0163-84-2626,"http://www.town.rishiri.hokkaido.jp/
KOKUHO/",097-0401,北海道利尻郡利尻町沓形字緑町１１番地,有,"受付時間
月・木曜日8：30-15：00
火・水・金曜日8：30-11：00",有
網走厚生病院,012114,北海道,網走市,44.02676,144.263855,0152-43-3157,"https://www.dou-
kouseiren.com/byouin/abasiri/",093-0076,北海道網走市北6条西1丁目9番地,有,24時間対応可能,有
金川医院,012114,北海道,網走市,44.02198,144.265579,0152-43-2884,,093-0012,北海道網走市南２条西２丁目10番地,有,"平日8：30～17：30
土日祝8：30～12：00",有
"やまかわウィメンズクリニッ
ク",012084,北海道,北見市,43.809978,143.905777,0157-66-0011,http://www.myclinic.ne.jp/ywc06/,090-0804,北海道北見市桜町５丁目８番地,有,"月・木9:00～12:00、14:00～18:00
火・金9:00～12:00、14:00～17:00
水、第１・３土9:00～12:00",有
"産科・婦人科北見レディー
スクリニック",012084,北海道,北見市,43.806477,143.898346,0157-31-0303,,090-0020,北海道北見市大通東２丁目１１番地,有,"平日9:00～17:00（月・火・木・金）
水・土9:00～12:00",有
"医療法人社団公和会中村
記念愛成病院",012084,北海道,北見市,43.817944,143.871933,0157-24-8131,https://www.kouwakai-nakamura.jp/,090-0051,北海道北見市高栄東町４丁目２０番１号,有,"【月・水・金】9：00～17：00
【火・木・土】9：00～12：00",有
広域紋別病院,012190,北海道,紋別市,44.363964,143.347443,0158-24-3111,https://www.mombetsu-hospital.jp,094-8709,北海道紋別市落石町1-10-37,有,"平日
①9:00-11:00
②13:00-15:00
※②について水、木曜日は除く",有
"社会医療法人製鉄記念室
蘭病院",012050,北海道,室蘭市,42.35836,141.017578,0143-44-4650,http://www.nshp-muroran.or.jp/,050-0076,北海道室蘭市知利別町1丁目45番地,有,（受付時間）平日8:30～11:00,有
"医療法人緑風会石田内科
胃腸科",015849,北海道,虻田郡洞爺湖町,42.625366,140.81282,0142-76-3838,"http://ishidanaikaichoka.com/custo
m3.html",049-5615,北海道洞爺湖町本町１９５,有,"平日
８：３０～１１：３０１１：３０～１８：００
土８：３０～１１：３０",有
"社会医療法人母恋日鋼記
念病院",012050,北海道,室蘭市,42.316559,140.984314,0143-24-1331,https://www.nikko-kinen.or.jp/,051-8501,北海道室蘭市新富町1-5-13,有,24時間365日対応可能,有
"医療法人社団のぞみ会レ
ディースクリニックぬまのは
た",012130,北海道,苫小牧市,42.674831,141.68811,0144-53-0303,"https://ladies-
numanohata.com/index.html",059-1304,北海道苫小牧市北栄町２－２７－７,有,"平日9：00-12：0014：00-17：00
土曜9：00-12：00",有
王子総合病院,012130,北海道,苫小牧市,42.637928,141.602676,0144-32-8111,http:/www.ojihosp.or.jp/,053-8506,北海道苫小牧市若草町3丁目4-8,有,平日8：30-11：00,有
"医療法人社団苫仁会桜木
ファミリークリニック",012130,北海道,苫小牧市,42.628181,141.554565,0144-71-2351,http://www.mc-senjinkai.or.jp,053-0832,北海道苫小牧市桜木町２丁目２５－１,有,"月・火・木・金9：00-12：0014：00-17：
00
土（第２・４週）9：00-12：00",有
新ひだか町立静内病院,016101,北海道,日高郡新ひだか町,43.5485,141.877014,0146-42-0181,"https://www.shinhidaka-
hokkaido.jp/hospital/",056-0004,北海道新ひだか町静内緑町４丁目５番１号,有,火曜日～木曜日8：30～16：00,有
"医療法人社団慶愛慶愛女
性クリニック",012076,北海道,帯広市,42.918072,143.129562,0155-61-1155,http://www.keiai.or.jp,080-2473,北海道帯広市西23条南2丁目16番地,有,"平日午前8:30～11:00
午後13:30～16:00
土・日・祝日は休診",有
（医）慶愛慶愛病院,012076,北海道,帯広市,42.92255,143.210495,0155-22-4188,www.keiai.or.jp,080-0803,北海道帯広市東３条南９丁目２番地,有,"平日9:00-17:00
土曜9:00-12:30",有
"医療法人社団慶香会坂野
産科婦人科",012076,北海道,帯広市,42.920212,143.190628,0155-26-1188,,080-0019,北海道帯広市西9条南10丁目1－3,有,"AM9:00～12:30月～土
PM14:00～17:00月・火・水・金",有
帯広レディースクリニック,012076,北海道,帯広市,42.927647,143.20015,0155-22-3773,,080-0013,"北海道帯広市西3条南4丁目14三条メディカルセン
ター2F",有,"月・火・水・金
9：00～12:0014:00～17:00
木9：00～12:00",有
"社会福祉法人北海道社会
事業協会帯広病院",012076,北海道,帯広市,42.922775,143.213638,0155-22-6600,http://www.obihiro-kyokai-hsp-jp,080-0805,北海道帯広市東５条南９丁目２,有,"受付時間
平日8:30～11:00、13:00～15:00
土曜（第1、第3、第5）8:30～11:00",有
市立釧路総合病院,012068,北海道,釧路市,42.977139,144.40242,0154-41-6121,http://www.kushiro-cghp.jp/,085-0822,北海道釧路市春湖台１－１２,有,"平日：8時30分～11時00分
土・日・祝日は対応不可",有
総合病院釧路赤十字病院,012068,北海道,釧路市,43.002121,144.381348,0154-22-7171,http://www.kushiro.jrc.or.jp,085-8512,北海道釧路市新栄町21番14号,有,平日：8:30-17:05（要問合せ）,有
くしろレディースクリニック,012068,北海道,釧路市,43.002029,144.377167,0154-32-1020,https://kushiro-ladies.jp/,085-0047,北海道釧路市新川町２－２３,有,"月・火・木・金８：３０－１６：３０
水８：３０－１２：３０
土８：３０－１３：３０",有
"医療法人社団足立産婦人
科クリニック",012068,北海道,釧路市,43.0056,144.382477,0154-25-7788,http://www.adachi-woman.jp,085-0052,北海道釧路市中園町8番1号,有,"【月～水・金】
8:30～12:15、13:30～16:30
【木・土（第１・３）】8:30～12:15
【土（第２・４）】
8:30～12:15、13:30～15:30",有
市立根室病院,012238,北海道,根室市,43.334019,145.586731,0153-24-3201,"https://www.city.nemuro.hokkaido.jp
/cgi-bin/hsp/index.php",087-8686,北海道根室市有磯町１丁目２番地,有,平日8：30～15：00,有
町立中標津病院,016926,北海道,標津郡中標津町,43.53624,144.972092,0153-72-8200,http://nakashibetsu-hospital.jp/,086-1110,北海道標津郡中標津町西10条南9丁目1番地1,有,平日8：30～17：15,有
町立別海病院,016918,北海道,野付郡別海町,43.391808,145.122681,0153-75-2311,betsukai.jp/bhp/index.html,086-0203,北海道別海町別海西本町103番地の9,有,24時間毎日対応,有
ＮＴＴ東日本札幌病院,011010,北海道,札幌市中央区,43.056557,141.334534,011-623-7000,http://www.ntt-east.co.jp/smc/,060-0061,北海道札幌市中央区南１条西１５丁目,有,月曜日～金曜日8：20～15：30,有
"社会医療法人社団カレス
サッポロ時計台記念病院",011010,北海道,札幌市中央区,43.063381,141.357193,011-251-1221,http://www.tokeidaihosp.or.jp/,060-0031,北海道札幌市中央区北１条東１丁目２番３号,有,"平日8：30-17：00土曜電話により要
確認",有
"札幌マタニティ・ウイメンズ
ホスピタル",011029,北海道,札幌市北区,43.076874,141.347321,011-746-5505,https://www.smwh.or.jp/,001-0013,北海道札幌市北区北１３条西４丁目２番２３号,有,"月・土9：00-16：30火～金9：00-19：
00",有
"医療法人育愛会札幌東豊
病院",011037,北海道,札幌市東区,43.084709,141.372253,011-704-3911,http://www.toho-hosp.or.jp/,065-0017,北海道札幌市東区北１７条東１５丁目３番１号,有,"平日9：00-19：00土曜・日曜9：00-
16：30",有
札幌白石産科婦人科病院,011045,北海道,札幌市白石区,43.048252,141.39859,011-862-7211,http://www.shiroishi.or.jp/,003-0005,北海道札幌市白石区東札幌５条６丁目６－２８,有,"日中外来時
平日9：00～12：3014：00～16：30
土曜9：00～12：30",有
勤医協札幌病院,011045,北海道,札幌市白石区,43.059383,141.373489,011-811-2246,,003-0804,北海道札幌市白石区菊水４条１丁目９番２２号,有,"平日9：00～17：00（水曜のみ9：00～
12：30）
土9：00～12：30",有
"医療法人徳洲会札幌徳洲
会病院",011088,北海道,札幌市厚別区,43.028477,141.448502,011-890-1110,www2.satutoku.jp,004-0041,北海道札幌市厚別区大谷地東１丁目１番１号,有,"月曜日～金曜日９：００～１７：００
土曜日９：００～１１：００日祝対応不
可",有
ＫＫＲ札幌医療センター,011053,北海道,札幌市豊平区,43.035812,141.366699,011-822-1811,https://www.kkr-smc.com/,062-0931,北海道札幌市豊平区平岸１条６丁目３番４０号,有,"平日9:00～17:00
土日9:00～13:00",有
"医療法人社団エナ大通クリ
ニック",011010,北海道,札幌市中央区,43.061642,141.351013,011-241-3000,www.ena-odori.com,060-0001,"北海道札幌市中央区北１条西４丁目１番地１三甲大通公園
ビル２階",有,"月10：00～13：3015：00～19：30
火・木・金10：00～13：3015：00～18：
00
土10：00～13：3016：00～19：00",有
"オアシスレディースクリニッ
ク",011010,北海道,札幌市中央区,43.030647,141.344208,011-512-2525,www.dosanko-c.com/oasis,064-0922,"北海道札幌市中央区南22条西11丁目1－48山鼻メディカル
ビル4階",有,"月・火・木・金：9-18時、水：9-12時、
土：9-14時",有
セントベビークリニック,011010,北海道,札幌市中央区,43.063171,141.353439,011-215-0880,http://stbaby.org/,060-0001,"北海道札幌市中央区北1条西2丁目1番地札幌時計
台ビル2階",有,診療時間内であれば対応可能,有
"にしかわウイメンズヘルス
クリニック",011010,北海道,札幌市中央区,43.05637,141.335571,011-213-1730,https://nishikawa-whc.com/,060-0061,"北海道札幌市中央区南1条西14丁目291-81ｳｨｽﾃﾘｱ
南1条ﾋﾞﾙ2F",有,"火・木・金→午前）9:00～12:00午後）
14:00～17:30
水→午前）9:00～12:00
土→午前）9:00～12:00午後）13:00～
16:30",有
のだレディースクリニック,011010,北海道,札幌市中央区,43.070423,141.333344,011-708-0550,,060-0011,"北海道札幌市中央区北１１条西１５丁目２番１号桑園メディ
カルプラザ",有,"月・火・水・金10：00～13：0015：00～
19：00
木・土10：00～13：00",有
まどかレディースクリニック,011010,北海道,札幌市中央区,43.059536,141.34993,011-231-0080,madoka-lc.com,060-0042,北海道札幌市中央区大通西５丁目８番地昭和ビル,有,"月（第２・第４）8：30～13：0015：00～
18：30
火～木・金（第４のみ）8：30～13：
0015：00～18：30
金15：00～13：30
土8：30～13：00",有
円山レディースクリニック,011010,北海道,札幌市中央区,43.058201,141.319397,011-614-0800,https://maruyama-ladies.com/,064-0821,北海道札幌市中央区北１条西２５丁目１番１６号,有,"平日9：00～18：30
土曜9：00～15：00",有
"（医）みぶな会ひなたクリ
ニック",011010,北海道,札幌市中央区,43.064865,141.350204,011-204-8000,http://www.hinataclinic.com,060-0003,"北海道札幌市中央区北３条西４丁目１番日本生命札幌ビル
３階",有,"月・火・木・金10：00～13：0015：00～
19：00
水・土10：00～13：00",有
"医療法人社団ゆほな会は
やしたくみ女性クリニック",011010,北海道,札幌市中央区,43.055943,141.320099,011-640-8845,womens-clinic.jp,064-0820,"北海道札幌市中央区大通西２５丁目１番２号ハートランド円
山ビル３階",有,"月・火・水・金9：00～12：3014：00～
18：30
木9：00～12：30
1・3・5土9：00～12：30
2・4土9：00～12：3014：00～17：00",有
"医療法人社団ルミネレ
ディースクリニック",011010,北海道,札幌市中央区,43.059025,141.354935,011-200-7700,http://lumine-clinic.com/,060-0061,北海道札幌市中央区南１条西２丁目５番地南１条Ｋビル３Ｆ,有,"月、火、金9：00～12：00、13：00～
16：30
水9：30～12：30、13：30～18：30
木9：00～13：00
土（隔週）9：00～13：00",有
吉尾産婦人科,011010,北海道,札幌市中央区,43.049896,141.353912,011-511-5564,http://www.myclinic.ne.jp/yoshio/,064-0808,北海道札幌市中央区南８条西３丁目１－７,有,"月水金９：００～１９：００火土９：００
～１５：００日９：００～１２：００",有
"医療法人社団草薙レディー
スクリニック",011010,北海道,札幌市中央区,43.064335,141.355316,011-222-9372,"http://www.klc-
kusanagi.sakura.ne.jp/",060-0002,北海道札幌市中央区北２条西１丁目マルイト札幌ビル２階,有,"月・火・木・金10：00～13：0015：00～
18：00
水・土10：00～13：00
（第１・第３水曜日休診）",有
林レディースクリニック,011010,北海道,札幌市中央区,43.057949,141.3535,011-206-3050,,060-0062,北海道札幌市中央区南２条西３丁目,有,"水曜以外の平日10：00～13：0015：
00～17：30
水12：00～17：30
土10：00～13：00
完全予約制",有
"医療法人礼風会札幌ル・ト
ロワビューティクリニックＶｏ
ｇｕｅ",011010,北海道,札幌市中央区,43.060329,141.355835,0120-174-871,slbc-vogue.jp,060-0042,北海道札幌市中央区大通西１丁目１３番地ル・トロワ６階,有,11：00～20：00無休、完全予約制,有
響きの杜クリニック,011010,北海道,札幌市中央区,43.053707,141.317749,011-632-8331,https://hibikinomori.org/,064-0802,北海道札幌市中央区南２条西２７丁目１番９号,有,"平日9：00～17：30
土曜9：00～12：30",有
"高岡レディースケアクリニッ
ク",011010,北海道,札幌市中央区,43.044575,141.3396,011-562-2882,http://takaoka-ladiescare.jp/,064-0811,北海道札幌市中央区南１１条西１３丁目２番３号,有,"月・火・金10：00～14：0016：00～20：
00
水9：00～12：00
土10：00～14：0016：00～19：00
日10：00～14：00",有
"札幌マタニティ・ウィメンズＪ
Ｒタワークリニック",,北海道,札幌市,43.068001,141.351227,011-209-5350,https://www.smwh.or.jp/,060-8503,"北海道札幌市中央区北５条西２丁目５番地ＪＲタワーオフィ
スプラザ札幌８Ｆ",有,"月9：00～12：3014：30～16：30
水（完全予約制）9：00～12：3014：30
～16：30
火・木・金9：00～12：3014：30～18：
00
土（完全予約制）9：00～12：00",有
"医療法人明日葉会札幌マ
タニティ・ウイメンズ南一条
クリニック",011010,北海道,札幌市中央区,43.05846,141.348572,011-208-1880,,060-0061,北海道札幌市中央区南１条西６丁目第２７桂和ビル４Ｆ,有,"月・水・木・金9：30～13：0014：30～
18：00
火・土9：30～13：00",有
"社会医療法人社団カレス
サッポロ時計台記念クリ
ニック",011010,北海道,札幌市中央区,43.063381,141.357193,011-251-2221,www.tokeidaihosp.or.jp,060-0031,北海道札幌市中央区北１条東１丁目２番３号,有,9：00～17：00,有
中央メディカルクリニック,011010,北海道,札幌市中央区,43.060856,141.349594,011-222-0120,,060-0042,北海道札幌市中央区大通西５丁目１１大五ビル１階,有,"平日9：30～17：00
土日9：30～15：00",有
田畑産婦人科,011010,北海道,札幌市中央区,43.055016,141.355911,011-531-7770,"http://www.tabata-
sanfujinka.com/index.html",064-0805,北海道札幌市中央区南５条西２丁目６,有,"月～金９：００～１７：００土日祝９：０
０～１２：００月水金１７：３０～１９：０
０受付は１５分前にはお済ませくださ
い",有
ウィミンズクリニック札幌,011029,北海道,札幌市北区,43.069595,141.347382,011-738-7877,http://www.w-clinic-sapporo.or.jp/,060-0807,"北海道札幌市北区北７条西５丁目８番地１北７条ヨシヤビル
５階",有,平日9：00～13：3014：30～17：00,有
"リズミック産婦人科クリニッ
ク",011029,北海道,札幌市北区,43.087528,141.343521,011-700-0505,,001-0022,"北海道札幌市北区北２２条西５丁目１番３２号ボアソルテ
N22２F",有,"平日（月・火・木・金）9：00～13：
0014：30～18：30
水・土9：00～12：00",有
"医療法人社団ちぇりこ会麻
生レディースクリニック",011029,北海道,札幌市北区,43.109005,141.338364,011-747-8688,http://www.asabu-clinic.com/,001-0040,"北海道札幌市北区北４０条西４丁目２番２０号麻生むらもと
ビル２階",有,"月・火・水・土・日・祝日10：00～13：
10
金10：00～13：1014：30～16：10
（木曜休診）",有
"札幌駅前アップルレディー
スクリニック",011029,北海道,札幌市北区,43.070866,141.350281,011-736-8222,www.alc8.com,060-0808,"北海道札幌市北区北８条西３丁目２８札幌エルプラ
ザ６階",有,"月・火・木・金９：００-１２：００１５：０
０-１８：３０",有
"医療法人社団モアナエム
ズレディースクリニック",011029,北海道,札幌市北区,43.069019,141.347534,011-738-7777,https://www.ms-ladiesclinic.com,060-0807,"北海道札幌市北区北７条西５丁目７－１札幌北スカイビル５
階",有,"平日10：00～13：3015：00～17：30
土9：00～13：00",有
"医療法人社団こんの産婦
人科",011037,北海道,札幌市東区,43.078575,141.377289,011-742-8228,http://konno-doc.com/,065-0012,北海道札幌市東区北１２条東１５丁目５番１８号,有,"平日（水・木・金・土）8：30～14：00
夜間（水・金）17：00～20：00",有
"医療法人社団豊生会伏古
レディースクリニック",011037,北海道,札幌市東区,43.09211,141.396957,011-780-1103,fushiko-ladies.com,007-0868,北海道札幌市東区伏古８条３丁目６番２０号,有,"平日9：00～17：00
土9：00～12：00",有
栄町レディースクリニック,011037,北海道,札幌市東区,43.113239,141.367294,011-783-1111,https://www.sakaemachilc.com/,007-0842,"北海道札幌市東区北４２条東１６丁目１－１Ｎ４２メディカル
ビル２階",有,"月・火・木・金9：00～12：00、14：00～
17：00
水・土9：00～12：00",有
苗穂レディスクリニック,011037,北海道,札幌市東区,43.078854,141.389343,011-781-1955,https://www.naeboladies.jp/,065-0042,北海道札幌市東区本町２条５丁目２番４号,有,"月・火9：00～12：00
水・木・金9：00～12：00、14：00～17：
00
土9：00～12：00",有
"医療法人社団EVEウィミン
ズクリニック",011045,北海道,札幌市白石区,43.025997,141.442734,011-866-0808,https://eveclinic.jp,003-0022,北海道札幌市白石区南郷通21丁目南5-41,有,"月水金9：00-12：00予約制13:30-
16:30予約制17:00-19:00火9：00-12：
00予約制13:30-16:30予約制土9:00-
12:00予約制",有
はしもとクリニック,011088,北海道,札幌市厚別区,43.032261,141.456024,011-891-2633,,004-0052,北海道札幌市厚別区厚別中央2条1丁目4-15,有,"月・火・水・金9：00～13：0015：00～
19：00土9：00～12：00",有
"医療法人社団青葉産婦人
科クリニック",011088,北海道,札幌市厚別区,43.030918,141.477097,011-893-3207,,004-0021,北海道札幌市厚別区青葉町６丁目１番９号,有,"月・火・水・木・金8：30～17：00
月・木18：00～19：00
土8：30～12：30",有
"医療法人福住産科婦人科
クリニック",011053,北海道,札幌市豊平区,43.017963,141.406357,011-836-1188,http://www.fukuzumi-c.com,062-0043,北海道札幌市豊平区福住３条１丁目２番２４号,有,"月・木8：45～18：45火・金8：45～16：
45水・土8：45～11：45",有
"医療法人社団いちご会美
加レディースクリニック",011053,北海道,札幌市豊平区,43.026661,141.369598,011-833-7773,https://www.mikalady.jp,062-0933,北海道札幌市豊平区平岸３条１３丁目５番２１号,有,"月・水・金8：30～13：0014：30～17：
30（※）17：30～19：00
火・木8：30～13：00（木曜～12：30ま
で）
土（※）8：30～13：00
（※）予約制",有
"医療法人社団新芽会美園
産婦人科小児科",011053,北海道,札幌市豊平区,43.041142,141.384735,011-824-0303,http://misono-hp.com/,062-0004,北海道札幌市豊平区美園４条３丁目２番１９号,有,"月・火・水・金9：00～17：00
木・土9：00～12：00",有
神田産科婦人科クリニック,011053,北海道,札幌市豊平区,43.054729,141.366302,011-841-1103,kanda-sanfujinka-clinic.com,062-0903,北海道札幌市豊平区豊平３条１丁目１－３３,有,"月・火・水・金9：00～12：0013：30～
17：00
木・土9：00～12：00",有
"産科・婦人科札幌みらいク
リニック",011100,北海道,札幌市清田区,42.991684,141.452835,011-885-1100,https://sapporo-mirai.jp/,004-0871,北海道札幌市清田区平岡１条５丁目３番８号,有,"平日9：00～12：0014：00～19：00
土・日・祝9：00～12：00",有
"医療法人礼風会五輪橋マ
タニティクリニック",011061,北海道,札幌市南区,43.005016,141.342972,011-585-3110,https://gorin.or.jp/,005-0039,北海道札幌市南区南３９条西１１丁目１番３０号,有,"月・火・水・金曜8:30-16:30
木・土曜8:30-11:30",有
ペルル女性クリニック,011070,北海道,札幌市西区,43.075882,141.314789,011-624-7031,https://perle-ladies.com,063-0803,北海道札幌市西区二十四軒3条1丁目1-18,有,"月・水・金9:00-12:0014:00-18:00、火
9:00-12:0014:00-17:00木・土9:00-
12:00",有
"医療法人社団カワカミウィ
メンズクリニック",011070,北海道,札幌市西区,43.086441,141.315903,011-641-6507,,063-0865,北海道札幌市西区八軒５条東１丁目６番１９号,有,"月・火・水・金9：30～16：30土9：30～
12：00",有
"医療法人社団ともこレ
ディースクリニック",011070,北海道,札幌市西区,43.081097,141.306625,011-641-8181,"http://www.tomoko-ladies.dr-
clinic.jp",063-0812,"北海道札幌市西区琴似2条1丁目１－２０
琴似タワープラザ２F",有,"月・火・木・金9：30－12：3014：00－
18：00
水・土9：30－12：30",有
"医療法人社団札幌西レ
ディースクリニック",011070,北海道,札幌市西区,43.081547,141.284958,011-661-3535,www.nishiladies.com,063-0061,北海道札幌市西区西町北１１丁目１番５号,有,"月・火・木・金9：00～12：00、14：00～
19：00
水9：00～12：00、14：00～17：00
土9：00～12：00
日・祝・夏季・年末年始休診",有
さくらレディースクリニック,011096,北海道,札幌市手稲区,43.114796,141.246643,011-695-8118,,006-0012,北海道札幌市手稲区富丘２条７丁目６－１５,有,"平日9：00～18：00
土9：00～12：30",有
"医療法人はだ産婦人科クリ
ニック",011096,北海道,札幌市手稲区,43.121006,141.236389,011-685-1103,hadasan.com,006-0022,北海道札幌市手稲区手稲本町２条５丁目３－１２,有,"平日（月・火・木・金）9：00～17：00
土・水9：00～12：00",有
"医療法人育愛会愛産婦人
科",011096,北海道,札幌市手稲区,43.096363,141.259506,011-676-1166,www.ai-maternity.com,006-0004,北海道札幌市手稲区西宮の沢４条２丁目１番１号,有,"平日・土・日
午前9：00～12：00（受付8：45～11：
30）
午後13：30～17：00（受付13：30～
16：30）
※祝日は午前診療のみ",有
"医療法人社団手稲あけぼ
のレディースクリニック",011096,北海道,札幌市手稲区,43.134995,141.236481,011-695-4103,http://www.teine-alc.jp,006-0836,北海道札幌市手稲区曙６条２丁目２番１０号,有,"月・火・木・金9：00-11：0013：00-17：
00水・土・日9：00-11：00祝日他：休",有
"医療法人社団真愛会札幌
ファミリークリニック",011096,北海道,札幌市手稲区,43.136642,141.209061,011-695-5211,http://www.family-clinic.net/,006-0852,北海道札幌市手稲区星置２条４丁目２番２２号,有,"月・火・土9：00～15：00
水・金9：00～19：00",無
"医療法人社団弘和会森産
科婦人科病院",012041,北海道,旭川市,43.772766,142.361908,0166-22-6125,http://www.mori-hosp.jp,070-0037,北海道旭川市7条通7丁目左2号,有,"平日9：00～18：00
土曜9：00～12：30",有
