施設_名称,施設_市区町村コード,住所_都道府県,住所_市区町村（郡）,住所_緯度,住所_経度,連絡先_電話番号,連絡先_FormURL,連絡先_郵便番号,連絡先_住所,緊急避妊に係る診療が可能な産婦人科医療機関等_産科、婦人科又は産婦人科の標榜の有無,緊急避妊に係る診療が可能な産婦人科医療機関等_医療機関における緊急避妊にかかる対面診療への対応可能時間帯,緊急避妊に係る診療が可能な産婦人科医療機関等_常時の緊急避妊薬の在庫の有無
"今井産科婦人科
クリニック",221015,静岡県,静岡市葵区,34.983421,138.370712,054-275-0341,www.imai-3f.com,420-0004,静岡県静岡市葵区末広町117-1,有,"電話対応は24時間可
月・水・金9時～12時、15時～18時
火・土9時～12時",有
静岡中央クリニック,221015,静岡県,静岡市葵区,34.973972,138.386841,054-221-1178,chuoh-clinic-beauty..com,420-0857,"静岡県静岡市葵区御幸町6-11
一瀬ビル６F",無,"開院日9時30分～18時
※休診日不定",有
"静岡レディース
クリニック",221015,静岡県,静岡市葵区,34.975124,138.39447,054-251-0770,http://shizuoka-lc.net,420-0837,静岡県静岡市葵区日出町10-3,有,"月～木7時30分～17時30分
金・土7時30分～13時30分",有
"清水産婦人科
クリニック",221015,静岡県,静岡市葵区,34.998192,138.388947,054-248-3660,,420-0881,静岡県静岡市葵区北安東5-28-1,有,"月・火・水・金9時～12時30分、14時30分～17時30
分
土9時～13時",有
TOMIMATSU女性医院,221015,静岡県,静岡市葵区,34.973248,138.386322,054-269-6123,http://www.tomimatsu-josei.jp/,420-0857,静岡県静岡市葵区紺屋町7-15 1階,有,"月・金11時～14時、15時～18時
火11時～14時、15時～17時30分
土11時～14時、15時～16時30分",有
"富松レディス
クリニック",221015,静岡県,静岡市葵区,34.997856,138.410812,054-261-1730,http://www.tomimatsu-lc.jp,420-0801,静岡県静岡市葵区東千代田1-1-3,有,"平日8時～18時
土8時～15時30分",有
平野医院,221015,静岡県,静岡市葵区,34.971275,138.383698,054-252-3267,,420-0033,静岡県静岡市葵区昭和町5-5,有,"月・火・水・金8時30分～17時30分
木・土8時30分～12時30分",有
依藤産婦人科医院,221015,静岡県,静岡市葵区,34.990372,138.391678,054-209-6601,yotifuji-ladies.com,420-0841,静岡県静岡市葵区上足洗2-1-9,有,"月・木・金9時～12時、14時～17時
火9時～12時、15時～17時
土9時～12時",有
"くさなぎ
マタニティ
クリニック",221023,静岡県,静岡市駿河区,34.984943,138.427551,054-265-8877,http://www.kusanagimtc.jp,422-8007,静岡県静岡市駿河区聖一色441-1,有,"月・火・金9時～12時、14時～17時
水・木・土9時～12時",有
"県立美術館前
IVFクリニック",221023,静岡県,静岡市駿河区,34.996613,138.441559,054-264-6000,,422-8002,静岡県静岡市駿河区谷田30-22,有,月・火・金・土・日9時～13時、15時～18時,有
"聖隷健康
サポートセンター
Shizuoka",221023,静岡県,静岡市駿河区,34.98407,138.416077,054-280-6211,"http://www.seirei.or.jp/hoken/
support-zenter/",422-8006,静岡県静岡市駿河区曲金6-8-5-2,有,"火15時20分～18時
水9時15分～11時30分（不定期）
金8時30分～11時30分",有
"ふかさわレディス
クリニック",221023,静岡県,静岡市駿河区,34.951794,138.410034,054-238-3883,,422-8036,静岡県静岡市駿河区敷地1-8-10,有,通常の診療時間内,有
"福間産婦人科
クリニック",221023,静岡県,静岡市駿河区,34.954033,138.386703,054-285-7717,http://fukuma-cl.gr.jp,422-8058,静岡県静岡市駿河区中原739-1,有,"月・火・木・金9時～12時30分、15時～18時
土9時～12時30分",有
静岡市立清水病院,,静岡県,静岡市,34.98233,138.489685,054-336-1111,"https://www.shimizuhospital.co
m/",424-8636,静岡県静岡市清水区宮加三1231,有,"24時間対応可能（ただし、他の患者の診療中の場合
は対応不可）",有
"おおいし
レディース
クリニック",221031,静岡県,静岡市清水区,35.031769,138.453278,054-344-1103,"http://www.ohishi-
ladies.cl.into/",424-0008,静岡県静岡市清水区押切2416,有,"月・火・木・金9時～12時、14時～17時
水・土9時～12時",有
"オハナクリニック
木の下町",221031,静岡県,静岡市清水区,35.004036,138.469925,054-347-0300,ohara-clinic-kinoshitacho.com,424-0846,静岡県静岡市清水区木の下町44-1,有,"月・火・水・金9時～12時、14時～17時
木17時～20時
土9時～12時
（月２回不定期）",有
"阪部循環器内科・
内科・婦人科
クリニック",221031,静岡県,静岡市清水区,34.976688,138.495758,054-335-5000,"https://sakabe-
clinic2.jimdo.com/",424-0905,静岡県静岡市清水区駒越西1-2-62,有,"月・火・木・金8時30分～12時、14時～17時30分
水・土8時30分～12時",有
庄司産婦人科,221031,静岡県,静岡市清水区,35.023491,138.485077,054-366-0861,,424-0815,静岡県静岡市清水区江尻東1-4-1,有,"月・火・水・金8時～12時、16時～18時
木・土8時～12時",有
"しのはら
産科婦人科医院",222097,静岡県,島田市,34.844578,138.212784,0547-33-4103,,427-0005,静岡県島田市岸町658-1,有,"平日8時30分～10時、15時～15時30分
土8時30分～10時",有
"アイレディース
クリニック",222127,静岡県,焼津市,34.888767,138.312561,054-620-1103,"http://www.myclinic.ne.jp/i-
ladies/",425-0004,静岡県焼津市坂本457,有,"平日8時30分～18時
水・木・土8時30分～12時",有
"前田産科婦人科
医院",222127,静岡県,焼津市,34.86182,138.288223,054-626-8603,https://www.obgymaeda.com/,425-0076,静岡県焼津市小屋敷214-1,有,常時対応可（時間外は費用が割増）,有
"いしかわ
レディース
クリニック",222143,静岡県,藤枝市,34.87389,138.280014,054-643-0311,https://ishikawa-lc.net/,426-0011,静岡県藤枝市平島70-1,有,"月・火・木・金8時30分～11時30分、15時～17時
土8時30分～14時",有
"あかほり
クリニック",222267,静岡県,牧之原市,34.718655,138.21637,0548-52-5555,,421-0511,静岡県牧之原市片浜873-2,有,"平日8時～18時
木・土8時～12時
臨時休診日除く",有
"あんずクリニック
産婦人科",222119,静岡県,磐田市,34.754284,137.856232,0538-38-0301,www.anzu-clinic.com/,438-0002,静岡県磐田市大久保896-39,有,"平日9時～18時（水は9時～12時）
土9時～12時",有
"日野産婦人科
歯科医院",222119,静岡県,磐田市,34.718273,137.826782,0538-37-0135,,438-0816,静岡県磐田市宮之一色817,有,"平日9時～18時
土9時～12時",有
"藤井マタニティ
クリニック",222119,静岡県,磐田市,34.718277,137.869629,0538-36-3541,,438-0026,静岡県磐田市西貝塚2251,有,"平日9時～12時、14時30分～18時
土・木9時～12時",有
八神クリニック,222135,静岡県,掛川市,34.792679,138.013794,0537-62-1300,https://yagamiclinic.com,436-0342,静岡県掛川市上西郷239-1,有,平日9時～12時、15時～18時,有
笠原産婦人科医院,222160,静岡県,袋井市,34.755058,137.92247,0538-42-3616,kasasanfu.com,437-0016,静岡県袋井市葵町1-7-1,有,"平日9時～18時（水・木は不在）
土9時～12時",有
"ふくろい
マタニティ
クリニック",222160,静岡県,袋井市,34.748089,137.931137,0538-41-2121,http://www.fukuroimtc.jp,437-0022,静岡県袋井市方丈6-10-27,有,"平日9時～17時
土9時～12時",有
小野澤医院,222232,静岡県,御前崎市,34.631516,138.15593,0537-86-8070,http://onozawaclinic.com/,437-1604,静岡県御前崎市佐倉1238,有,"平日8時30分～12時30分、14時30分～18時
水・土8時30分～12時",有
菊川市立総合病院,222240,静岡県,菊川市,34.733391,138.099106,0537-35-2135,https://www.kikugawa-hosp.jp,439-0022,静岡県菊川市東横地1632,有,24時間（要事前連絡）,有
松下産婦人科医院,222240,静岡県,菊川市,34.74786,138.087952,0537-36-3221,,439-0031,静岡県菊川市加茂1990,有,"平日9時～17時
土9時～12時",有
"森町家庭医療
クリニック",224618,静岡県,周智郡森町,34.824978,137.91423,0538-85-1340,https://www.morimachi-fc.com,437-0214,静岡県周智郡森町草ヶ谷387-1,有,平日8時30分～17時（受付は16時まで）,有
"JA静岡厚生連
遠州病院",221384,静岡県,浜松市中央区,34.713219,137.734238,053-453-1111,,430-0929,静岡県浜松市中区中央一丁目1-1,有,"平日 8時30分～17時(受付時間8時30分～11時)
第1・3土 8時30分～12時30分(原則予約の方、紹介
状お持ちの方のみ)",有
アクトタワークリニック,221384,静岡県,浜松市中央区,34.710865,137.72612,053-413-1124,https://www.acttower.com,430-7707,"静岡県浜松市中区板屋町111-2
アクトタワー7階",有,"月・火・木・金9時～13時、15時～19時
水・土9時～13時",有
有澤産婦人科医院,221384,静岡県,浜松市中央区,34.709709,137.735443,053-452-6521,,430-0929,"静岡県浜松市中区中央一丁目15-5
浜松メディカルパークビル5F",有,"平日9時～18時
木・土9時～12時40分",有
"おおたにレディース
クリニック",221384,静岡県,浜松市中央区,34.709484,137.697906,053-447-7300,http://o-l-c.jp,432-8021,静岡県浜松市中区佐鳴台四丁目39-7,有,"平日8時30分～17時30分
土8時30分～12時",有
大脇産婦人科医院,221384,静岡県,浜松市中央区,34.724445,137.744583,053-411-0800,www.oowaki.or.jp,430-0901,静岡県浜松市中区曳馬三丁目3-22,有,"月・火・水・金9時～11時30分、15時～17時30分
木・土9時～11時30分",有
河野産婦人科医院,221384,静岡県,浜松市中央区,34.709984,137.710464,053-454-6661,kohno-sanfuzinka.net,432-8023,静岡県浜松市中区鴨江三丁目80-16,有,"火・水・木・金9時～11時30分、14時～17時30分
土9時～11時30分",有
"南浅田小池
産科婦人科",221384,静岡県,浜松市中央区,34.690361,137.730652,053-442-4122,,432-8044,静岡県浜松市中区南浅田一丁目23-26,有,"平日 9時～12時（木曜休診）
土9時～12時",有
森岡産婦人科医院,221384,静岡県,浜松市中央区,34.709,137.753616,053-474-0161,,432-8002,静岡県浜松市中区富塚町2069,有,"月・火・水・金 9時～12時30分、15時～17時30分
木・土 9時～12時30分",有
"森下レディース
クリニック",,静岡県,浜松市,34.762508,137.712128,053-437-2200,,432-8117,静岡県浜松市中区高丘東五丁目12-1,有,"平日9時～12時、16時～18時
土9時～12時",有
"ＲＯＳＡレディース
クリニック",221384,静岡県,浜松市中央区,34.728031,137.722153,053-412-2666,http://rosa-clinic.com,433-8125,"静岡県浜松市中区和合町27-13
和合メディカルビル2階",有,"月・火・木・金9時～17時30分
水・土9時～12時",有
"浜松医科大学
医学部附属病院",,静岡県,浜松市,34.76965,137.74408,053-435-2111,"https://www.hama-
med.ac.jp/hos/index.html",431-3192,静岡県浜松市東区半田山一丁目20-1,有,平日（月～金）13時～16時,有
"水本レディス
クリニック",221384,静岡県,浜松市中央区,34.741341,137.791748,053-433-1103,http://www.mizumotoiin.com,431-3115,静岡県浜松市東区西ケ崎町796-1,有,"平日8時30分～12時30分、14時30分～17時30分
木・土8時30分～12時30分
第3土曜は不可",有
長島医院,221384,静岡県,浜松市中央区,34.66732,137.752365,053-445-3100,,432-8063,静岡県浜松市南区小沢渡町1098-2,有,"月・水・金9時～12時、14時～17時
火・木9時～12時（受付は終了30分前まで）",有
"社会福祉法人
聖隷福祉事業団
総合病院
聖隷三方原病院",,静岡県,浜松市,34.791798,137.689636,053-436-1251,http//www.seirei.or.jp/mikatahara/,433-8558,静岡県浜松市北区三方原町3453,有,平日 8時30分～16時30分,有
"医療法人社団
気賀渥美医院",221392,静岡県,浜松市浜名区,34.806152,137.651108,053-522-1462,,431-1305,静岡県浜松市北区細江町気賀506-2,有,"月・水・金8時30分～12時15分、14時～17時15分
火・木8時30分～12時15分
土8時30分～12時15分、15時00分～16時45分",有
木村産科・婦人科,221384,静岡県,浜松市中央区,34.776398,137.731567,053-439-1010,,433-8104,静岡県浜松市北区東三方町94-3,有,"平日9時～12時、14時30分～17時
土9時～12時、14時30分～16時",有
"クリニック
ミズ ソフィア",221384,静岡県,浜松市中央区,34.793823,137.689529,053-414-0700,,433-8108,静岡県浜松市北区根洗町547-2,有,"平日9時～17時
土8時45分～12時",有
賛育産婦人科医院,221384,静岡県,浜松市中央区,34.766331,137.720459,053-438-3838,,433-8112,静岡県浜松市北区初生町777,有,"平日9時～17時30分
木・土9時～12時",有
浜松赤十字病院,,静岡県,浜松市,34.793282,137.789993,053-401-1111,,434-8533,静岡県浜松市浜北区小林1088-1,有,平日8時～17時,有
"石井第一産科・
婦人科クリニック",221392,静岡県,浜松市浜名区,34.793282,137.789993,053-586-6166,www.babyfriendly.sakura.ne.jp/,434-0042,静岡県浜松市浜北区小松4498-5,有,"月～土9時～12時
月・水・金15時30分～18時30分
火・木13時30分～15時",有
河合クリニック,221392,静岡県,浜松市浜名区,34.793282,137.789993,053-587-1771,,434-0038,静岡県浜松市浜北区貴布祢313-10,有,"平日9時～12時、15時～18時
木・土9時～12時",有
"ことみレディース
クリニック",221392,静岡県,浜松市浜名区,34.793282,137.789993,053-589-5000,https://kotocli.jp,434-0026,静岡県浜松市浜北区東美薗678,有,月・火・水・金・土9時～16時30分,有
服部医院,221392,静岡県,浜松市浜名区,34.793282,137.789993,053-586-2221,,434-0037,静岡県浜松市浜北区沼268,有,"月・火・水・金9時～12時、15時～18時
土9時～12時",有
